sampleplotid,sampleplottype,volume,pinevol,sprucevol,decidvol,rad,blue,green,red,re1,re2,re3,nir,nirnarrow,swir1,swir2,hh,hv
422780,1,207.97,0,207.42,0.56,20,746.4924925,543.5815816,296.6406406,444.3893894,1113.308308,1372.106106,1387.27027,1454.97998,529.1061061,200.6886887,7103.794416,4657.428934
422891,1,189.46,0,94.68,94.78,20,774.19801,602.9711443,349.9223881,591.8368159,1651.318408,2069.153234,2121.78806,2231.680597,804.4218905,325.7482587,7940.936789,4985.466498
422892,3,14.76,0,6.53,8.23,20,822.7915832,752.6042084,428.742485,938.5991984,2376.676353,2795.88477,2661.693387,3168.241483,1343.314629,542.9128257,7175.001869,2821.871641
422893,3,11.39,0,2.46,8.93,20,811.5409182,730.8463074,445.1556886,923.7255489,2440.819361,3001.868263,3075.433134,3346.203593,1475.861277,609.3083832,7332.236111,3422.743687
422894,1,152.26,84.76,43.19,24.32,20,781.0139442,597.5368526,338.9003984,567.0806773,1387.666335,1663.26992,1655.724104,1827.838645,711.4750996,281.375498,8056.627848,4121.04557
422895,1,210.88,0,210.88,0,20,772.5762712,567.4516451,343.8305085,519.225324,1096.28016,1300.932203,1235.080758,1435.015952,700.2352941,330.6809571,8185.562421,4093.064313
422896,4,261.82,0,261.82,0,20,782.5063484,595.0259015,361.0502793,568.5215846,1239.988827,1516.277806,1485.62062,1708.212798,817.6028441,363.3357034,7036.354717,3383.069182
422926,1,166.44,162.46,3.99,0,20,769.006,594.692,340.995,596.734,1512.534,1813.736,1741.695,2004.156,783.5,310.522,8543.617834,4102.472611
422927,1,187.84,187.84,0,0,20,770.5950249,586.0895522,327.3014925,557.0199005,1527.18607,1888.227861,1810.202985,2052.962189,704.1054726,282.2457711,9304.684277,3710.988679
422928,1,113.94,111.85,2.09,0,20,774.0299401,598.6526946,343.988024,590.1207585,1481.379242,1784.752495,1777.713573,1912.238523,715.6636727,298.3672655,7709.598985,4001.898477
422929,1,160.62,160.62,0,0,20,771.2422422,579.4754755,344.4664665,592.3633634,1463.690691,1776.828829,1609.431431,1926.114114,782.2672673,319.4354354,5361.073325,3254.340076
422930,1,170.93,170.93,0,0,20,795.9421735,621.8634098,358.2512463,628.10668,1533.633101,1826.624128,1842.555334,2020.181456,787.5812562,329.8654038,6010.047859,4715.074307
422931,1,328.59,0,307.05,21.55,20,740.413,536.046,302.948,493.266,1402.801,1788.399,1710.753,1963.786,599.729,221.691,9081.449367,3969.679747
422933,1,239.49,0,195.22,44.27,20,759.5795796,533.5525526,299.9169169,416,1034,1214,1192.818819,1385,459,180,6895.986612,4990.628322
422934,4,46.23,0,0.54,45.69,20,782.6981707,616.9730691,360.1549797,639.7291667,1981.520833,2524.068598,2614.949695,2774.863821,1068.036077,416.0259146,9063.764685,3607.651653
422935,3,17.67,6.8,2.94,7.93,20,835.1355094,726.504451,429.3709199,871.115727,2562.656775,3119.385757,3194.756677,3537.716123,1486.625124,608.8160237,7022.752837,3931.374527
422936,1,191.27,0,191.27,0,20,759.6703297,559.1598402,310.982018,486.8581419,1181.485514,1391.608392,1383.090909,1548.563437,563.991009,220.1878122,8015.314861,4653.673804
422937,3,20.51,6.63,0.66,13.21,20,798.2241036,651.1115538,374.3017928,728.3167331,2055.958167,2530.878486,2413.751992,2830.988048,1082.440239,411.9243028,6934.387421,3103.318239
422939,1,75.77,0,68.73,7.04,20,787.1425723,607.5244267,362.0408774,652.3918245,1967.242273,2476.032901,2403.441675,2755.160518,958.5264207,382.3738784,8186.803774,4820.261635
